station,valid,tmpf,skyc1,wxcodes
FCM,2019-11-10 00:00,M,BKN,M
FCM,2019-11-10 00:05,M,BKN,M
FCM,2019-11-10 00:10,M,BKN,M
FCM,2019-11-10 00:15,M,BKN,M
FCM,2019-11-10 00:20,M,BKN,M
FCM,2019-11-10 00:25,M,BKN,M
FCM,2019-11-10 00:30,M,BKN,M
FCM,2019-11-10 00:35,M,BKN,M
FCM,2019-11-10 00:40,M,FEW,M
FCM,2019-11-10 00:45,M,FEW,M
FCM,2019-11-10 00:50,M,FEW,M
FCM,2019-11-10 00:53,36.00,SCT,M
FCM,2019-11-10 00:55,M,SCT,M
FCM,2019-11-10 01:00,M,SCT,M
FCM,2019-11-10 01:05,M,SCT,M
FCM,2019-11-10 01:10,M,SCT,M
FCM,2019-11-10 01:15,M,BKN,M
FCM,2019-11-10 01:19,36.00,BKN,M
FCM,2019-11-10 01:20,M,BKN,M
FCM,2019-11-10 01:25,M,BKN,M
FCM,2019-11-10 01:30,M,BKN,M
FCM,2019-11-10 01:35,M,BKN,M
FCM,2019-11-10 01:40,M,SCT,M
FCM,2019-11-10 01:42,36.00,SCT,M
FCM,2019-11-10 01:45,M,SCT,M
FCM,2019-11-10 01:50,M,FEW,M
FCM,2019-11-10 01:53,35.10,FEW,M
FCM,2019-11-10 01:55,M,FEW,M
FCM,2019-11-10 02:00,M,FEW,M
FCM,2019-11-10 02:05,M,FEW,M
FCM,2019-11-10 02:10,M,FEW,M
FCM,2019-11-10 02:15,M,FEW,M
FCM,2019-11-10 02:20,M,FEW,M
FCM,2019-11-10 02:25,M,BKN,M
FCM,2019-11-10 02:30,M,SCT,M
FCM,2019-11-10 02:35,M,FEW,M
FCM,2019-11-10 02:40,M,FEW,M
FCM,2019-11-10 02:45,M,FEW,M
FCM,2019-11-10 02:50,M,FEW,M
FCM,2019-11-10 02:53,35.10,OVC,M
FCM,2019-11-10 02:55,M,OVC,M
FCM,2019-11-10 03:00,M,OVC,M
FCM,2019-11-10 03:05,M,OVC,M
FCM,2019-11-10 03:10,M,OVC,M
FCM,2019-11-10 03:15,M,OVC,M
FCM,2019-11-10 03:20,M,OVC,M
FCM,2019-11-10 03:25,M,OVC,M
FCM,2019-11-10 03:30,M,OVC,M
FCM,2019-11-10 03:35,M,OVC,M
FCM,2019-11-10 03:40,M,OVC,M
FCM,2019-11-10 03:45,M,OVC,M
FCM,2019-11-10 03:50,M,OVC,M
FCM,2019-11-10 03:53,35.10,OVC,M
FCM,2019-11-10 03:55,M,OVC,M
FCM,2019-11-10 04:00,M,OVC,M
FCM,2019-11-10 04:05,M,BKN,M
FCM,2019-11-10 04:10,M,BKN,M
FCM,2019-11-10 04:15,M,BKN,M
FCM,2019-11-10 04:20,M,BKN,M
FCM,2019-11-10 04:25,M,SCT,M
FCM,2019-11-10 04:30,M,FEW,M
FCM,2019-11-10 04:35,M,FEW,M
FCM,2019-11-10 04:40,M,FEW,M
FCM,2019-11-10 04:45,M,FEW,M
FCM,2019-11-10 04:50,M,FEW,M
FCM,2019-11-10 04:53,33.10,FEW,M
FCM,2019-11-10 05:00,M,BKN,M
FCM,2019-11-10 05:05,M,BKN,M
FCM,2019-11-10 05:06,34.00,BKN,M
FCM,2019-11-10 05:10,M,BKN,M
FCM,2019-11-10 05:15,M,BKN,M
FCM,2019-11-10 05:20,M,OVC,M
FCM,2019-11-10 05:25,M,OVC,M
FCM,2019-11-10 05:30,M,OVC,M
FCM,2019-11-10 05:35,M,OVC,M
FCM,2019-11-10 05:40,M,BKN,M
FCM,2019-11-10 05:45,M,BKN,M
FCM,2019-11-10 05:50,M,BKN,M
FCM,2019-11-10 05:53,33.10,BKN,M
FCM,2019-11-10 05:55,M,BKN,M
FCM,2019-11-10 05:58,33.10,SCT,M
FCM,2019-11-10 06:00,M,SCT,M
FCM,2019-11-10 06:05,M,SCT,M
FCM,2019-11-10 06:10,M,FEW,M
FCM,2019-11-10 06:15,M,FEW,M
FCM,2019-11-10 06:20,M,FEW,M
FCM,2019-11-10 06:25,M,SCT,M
FCM,2019-11-10 06:30,M,BKN,M
FCM,2019-11-10 06:35,M,SCT,M
FCM,2019-11-10 06:40,M,SCT,M
FCM,2019-11-10 06:45,M,SCT,M
FCM,2019-11-10 06:50,M,FEW,M
FCM,2019-11-10 06:53,30.90,FEW,M
FCM,2019-11-10 06:55,M,FEW,M
FCM,2019-11-10 07:05,M,CLR,M
FCM,2019-11-10 07:10,M,CLR,M
FCM,2019-11-10 07:15,M,CLR,M
FCM,2019-11-10 07:20,M,CLR,M
FCM,2019-11-10 07:25,M,CLR,M
FCM,2019-11-10 07:30,M,FEW,M
FCM,2019-11-10 07:35,M,FEW,M
FCM,2019-11-10 07:40,M,FEW,M
FCM,2019-11-10 07:45,M,FEW,M
FCM,2019-11-10 07:50,M,FEW,M
FCM,2019-11-10 07:53,32.00,FEW,M
FCM,2019-11-10 07:55,M,FEW,M
FCM,2019-11-10 08:00,M,CLR,M
FCM,2019-11-10 08:05,M,FEW,M
FCM,2019-11-10 08:10,M,FEW,M
FCM,2019-11-10 08:15,M,FEW,M
FCM,2019-11-10 08:20,M,FEW,M
FCM,2019-11-10 08:25,M,FEW,M
FCM,2019-11-10 08:30,M,FEW,M
FCM,2019-11-10 08:35,M,CLR,M
FCM,2019-11-10 08:40,M,CLR,M
FCM,2019-11-10 08:45,M,CLR,M
FCM,2019-11-10 08:50,M,CLR,M
FCM,2019-11-10 08:53,30.90,CLR,M
FCM,2019-11-10 08:55,M,CLR,M
FCM,2019-11-10 09:00,M,FEW,M
FCM,2019-11-10 09:05,M,FEW,M
FCM,2019-11-10 09:10,M,FEW,M
FCM,2019-11-10 09:15,M,SCT,M
FCM,2019-11-10 09:20,M,SCT,M
FCM,2019-11-10 09:25,M,FEW,M
FCM,2019-11-10 09:30,M,FEW,M
FCM,2019-11-10 09:35,M,FEW,M
FCM,2019-11-10 09:40,M,FEW,M
FCM,2019-11-10 09:45,M,CLR,M
FCM,2019-11-10 09:50,M,CLR,M
FCM,2019-11-10 09:53,30.90,CLR,M
FCM,2019-11-10 09:55,M,CLR,M
FCM,2019-11-10 10:00,M,CLR,M
FCM,2019-11-10 10:05,M,FEW,M
FCM,2019-11-10 10:10,M,FEW,M
FCM,2019-11-10 10:15,M,SCT,M
FCM,2019-11-10 10:20,M,SCT,M
FCM,2019-11-10 10:25,M,BKN,M
FCM,2019-11-10 10:27,30.90,BKN,M
FCM,2019-11-10 10:30,M,BKN,M
FCM,2019-11-10 10:35,M,OVC,M
FCM,2019-11-10 10:40,M,OVC,M
FCM,2019-11-10 10:45,M,OVC,M
FCM,2019-11-10 10:50,M,OVC,M
FCM,2019-11-10 10:53,30.90,OVC,M
FCM,2019-11-10 10:55,M,OVC,M
FCM,2019-11-10 11:00,M,OVC,M
FCM,2019-11-10 11:05,M,OVC,M
FCM,2019-11-10 11:10,M,OVC,M
FCM,2019-11-10 11:15,M,OVC,M
FCM,2019-11-10 11:20,M,OVC,M
FCM,2019-11-10 11:25,M,OVC,M
FCM,2019-11-10 11:30,M,OVC,M
FCM,2019-11-10 11:35,M,OVC,M
FCM,2019-11-10 11:40,M,OVC,M
FCM,2019-11-10 11:45,M,OVC,M
FCM,2019-11-10 11:50,M,OVC,M
FCM,2019-11-10 11:53,30.00,OVC,M
FCM,2019-11-10 11:55,M,OVC,M
FCM,2019-11-10 12:00,M,BKN,M
FCM,2019-11-10 12:05,M,BKN,M
FCM,2019-11-10 12:15,M,BKN,M
FCM,2019-11-10 12:20,M,OVC,M
FCM,2019-11-10 12:25,M,OVC,M
FCM,2019-11-10 12:30,M,OVC,M
FCM,2019-11-10 12:35,M,OVC,M
FCM,2019-11-10 12:40,M,OVC,M
FCM,2019-11-10 12:45,M,OVC,M
FCM,2019-11-10 12:50,M,OVC,M
FCM,2019-11-10 12:53,30.00,OVC,M
FCM,2019-11-10 12:55,M,OVC,M
FCM,2019-11-10 13:00,M,OVC,M
FCM,2019-11-10 13:05,M,SCT,M
FCM,2019-11-10 13:10,M,OVC,M
FCM,2019-11-10 13:15,M,OVC,M
FCM,2019-11-10 13:20,M,OVC,M
FCM,2019-11-10 13:23,30.00,OVC,M
FCM,2019-11-10 13:25,M,BKN,M
FCM,2019-11-10 13:30,M,BKN,M
FCM,2019-11-10 13:35,M,BKN,M
FCM,2019-11-10 13:40,M,BKN,M
FCM,2019-11-10 13:45,M,BKN,M
FCM,2019-11-10 13:50,M,OVC,M
FCM,2019-11-10 13:53,30.00,OVC,M
FCM,2019-11-10 13:55,M,OVC,M
FCM,2019-11-10 14:00,M,OVC,M
FCM,2019-11-10 14:05,M,OVC,M
FCM,2019-11-10 14:10,M,OVC,M
FCM,2019-11-10 14:15,M,OVC,M
FCM,2019-11-10 14:20,M,OVC,M
FCM,2019-11-10 14:25,M,OVC,M
FCM,2019-11-10 14:30,M,OVC,M
FCM,2019-11-10 14:35,M,OVC,M
FCM,2019-11-10 14:40,M,OVC,M
FCM,2019-11-10 14:45,M,OVC,M
FCM,2019-11-10 14:50,M,OVC,M
FCM,2019-11-10 14:53,28.90,OVC,M
FCM,2019-11-10 14:55,M,OVC,M
FCM,2019-11-10 15:00,M,BKN,M
FCM,2019-11-10 15:05,M,BKN,M
FCM,2019-11-10 15:10,M,BKN,M
FCM,2019-11-10 15:15,M,BKN,M
FCM,2019-11-10 15:20,M,BKN,M
FCM,2019-11-10 15:25,M,OVC,M
FCM,2019-11-10 15:30,M,OVC,M
FCM,2019-11-10 15:35,M,OVC,M
FCM,2019-11-10 15:40,M,OVC,M
FCM,2019-11-10 15:45,M,OVC,M
FCM,2019-11-10 15:50,M,OVC,M
FCM,2019-11-10 15:53,30.00,OVC,M
FCM,2019-11-10 15:55,M,OVC,M
FCM,2019-11-10 16:00,M,OVC,M
FCM,2019-11-10 16:05,M,OVC,M
FCM,2019-11-10 16:10,M,OVC,M
FCM,2019-11-10 16:15,M,OVC,M
FCM,2019-11-10 16:20,M,OVC,M
FCM,2019-11-10 16:23,30.00,BKN,M
FCM,2019-11-10 16:25,M,OVC,M
FCM,2019-11-10 16:30,M,OVC,M
FCM,2019-11-10 16:35,M,OVC,M
FCM,2019-11-10 16:40,M,OVC,M
FCM,2019-11-10 16:45,M,OVC,M
FCM,2019-11-10 16:50,M,OVC,M
FCM,2019-11-10 16:53,28.90,OVC,M
FCM,2019-11-10 17:00,M,BKN,M
FCM,2019-11-10 17:05,M,SCT,M
